"OBJECTID","nom_rio"
59826,"TORRENT CROELLS"
59827,"Tram de_( TORRENT CROELLS )"
59831,"RIERA PICAMENA"
59832,"Tram de_( RIERA PICAMENA )"
59833,"Tram de_( RIERA PICAMENA )"
59847,"SOT DE FONT NEGRE O DE LA MORA"
59848,"Tram de_( SOT DE FONT NEGRE O DE LA MORA )"
59853,"Tram de_( RIERA PICAMENA )"
59855,"RIERA DEL PUJOL"
59856,"Tram de_( RIERA DEL PUJOL )"
59857,"Tram de_( RIERA DEL PUJOL )"
59859,"RIERA DE MARTINET"
59860,"Tram de_( RIERA DE MARTINET )"
59875,"BARRANC DE VALL-LLOSSERA"
59877,"Tram de_( BARRANC DE VALL-LLOSSERA )"
59879,"Tram de_( BARRANC DE VALL-LLOSSERA )"
59880,"Tram de_( BARRANC DE VALL-LLOSSERA )"
59881,"TORRENT DE FONT TORDERA"
59882,"Tram de_( TORRENT DE FONT TORDERA )"
59885,"BARRANC DEL PUIG"
59886,"Tram de_( BARRANC DEL PUIG )"
59889,"Tram de_( BARRANC DEL PUIG )"
60173,"Tram de_( SIN NOMBRE )"
60176,"Tram de_( SIN NOMBRE )"
60177,"Tram de_( SIN NOMBRE )"
60185,"RIERA DE SANTA COLOMA"
60186,"Tram de_( RIERA DE SANTA COLOMA )"
60188,"Tram de_( RIERA DE SANTA COLOMA )"
60189,"Tram de_( SIN NOMBRE )"
60190,"Tram de_( RIERA DE SANTA COLOMA )"
60193,"Tram de_( RIERA DE SANTA COLOMA )"
60194,"RIERA DE MAÇANES"
60195,"TORRENT DE CAL NAN"
60196,"Tram de_( TORRENT DE CAL NAN )"
60197,"Tram de_( TORRENT DE CAL NAN )"
60198,"RIERA DE LA CASANOVA"
60199,"Tram de_( RIERA DE LA CASANOVA )"
60200,"Tram de_( RIERA DE LA CASANOVA )"
60201,"Tram de_( SIN NOMBRE )"
60202,"RIERA DE L'ESPARRA"
60203,"Tram de_( RIERA DE L'ESPARRA )"
60204,"Tram de_( SIN NOMBRE )"
60205,"Tram de_( RIERA DE L'ESPARRA )"
