"OBJECTID","nom_rio"
27712,"ACEQUIA DE LES FOIES"
27713,"BARRANC DELS TERRERS"
27714,"Tram de_( BARRANC DELS TERRERS )"
27719,"Tram de_( ACEQUIA DE LES FOIES )"
27726,"Tram de_( SIN NOMBRE )"
27734,"BARRANC DE LA FOU"
27748,"Tram de_( BARRANC DE LA FOU )"
27751,"Tram de_( BARRANC DE LA FOU )"
27752,"Tram de_( SIN NOMBRE )"
27753,"BARRANC DE L'AVELLANAR"
27754,"Tram de_( BARRANC DE L'AVELLANAR )"
27789,"Tram de_( SIN NOMBRE )"
27791,"Tram de_( SIN NOMBRE )"
27792,"BARRANC DE LA MARTINENCA"
27794,"Tram de_( BARRANC DE LA MARTINENCA )"
27795,"Tram de_( SIN NOMBRE )"
27796,"BARRANC DEL LLOP"
27797,"Tram de_( BARRANC DEL LLOP )"
27798,"Tram de_( BARRANC DEL LLOP )"
27799,"BARRANC DEL CODONYOL"
27801,"Tram de_( BARRANC DEL CODONYOL )"
27802,"Tram de_( BARRANC DEL CODONYOL )"
27803,"Tram de_( BARRANC DEL CODONYOL )"
27804,"BARRANC DE L'AIGUASSERA"
27805,"Tram de_( BARRANC DE L'AIGUASSERA )"
27806,"Tram de_( SIN NOMBRE )"
27807,"RIO EBRO"
27811,"BARRANC DELS BARCELLES"
27812,"Tram de_( BARRANC DELS BARCELLES )"
27813,"BARRANC DE LA FULLOLA"
27820,"Tram de_( BARRANC DE LA FULLOLA )"
27821,"Tram de_( BARRANC DE LA FULLOLA )"
27823,"Tram de_( BARRANC DE LA FULLOLA )"
27824,"Tram de_( BARRANC DE LA FULLOLA )"
27825,"BARRANC DE L'OMBRIA DE XIRIMINA"
27826,"Tram de_( BARRANC DE L'OMBRIA DE XIRIMINA )"
27828,"BARRANC DE SOLITO"
27829,"Tram de_( BARRANC DE SOLITO )"
27830,"Tram de_( BARRANC DE SOLITO )"
27831,"Tram de_( BARRANC DE SOLITO )"
27833,"BARRANC DE LA GRANADELLA O DE FAVARET"
27834,"BARRANC DEL MAS ROIG"
27835,"Tram de_( BARRANC DEL MAS ROIG )"
27837,"Tram de_( BARRANC DE LA GRANADELLA O DE FAVARET )"
27838,"Tram de_( BARRANC DE LA GRANADELLA O DE FAVARET )"
27839,"BARRANC DE LA FONT DE GRACIA"
27840,"Tram de_( BARRANC DE LA FONT DE GRACIA )"
27841,"Tram de_( BARRANC DE LA FONT DE GRACIA )"
27845,"Tram de_( BARRANC DE LA GRANADELLA O DE FAVARET )"
27846,"BARRANC DELS PIXADORS"
27847,"Tram de_( BARRANC DELS PIXADORS )"
27848,"Tram de_( SIN NOMBRE )"
27849,"Tram de_( BARRANC DELS PIXADORS )"
27850,"BARRANC DEL COLL DE L'ALBA O D'EN PRINCEP"
27851,"Tram de_( BARRANC DEL COLL DE L'ALBA O D'EN PRINCEP )"
27853,"Tram de_( BARRANC DEL COLL DE L'ALBA O D'EN PRINCEP )"
27854,"Tram de_( BARRANC DEL COLL DE L'ALBA O D'EN PRINCEP )"
27856,"BARRANC DE L'ORIOLA O DELS NUVOLS"
27858,"BARRANC DE L'ANTIC"
27859,"Tram de_( BARRANC DE L'ANTIC )"
27862,"Tram de_( BARRANC DE L'ORIOLA O DELS NUVOLS )"
27863,"Tram de_( BARRANC DE L'ORIOLA O DELS NUVOLS )"
27864,"Tram de_( RIO EBRO )"
27865,"Tram de_( SIN NOMBRE )"
27866,"Tram de_( RIO EBRO )"
27867,"Tram de_( RIO EBRO )"
27871,"Tram de_( RIO EBRO )"
27873,"BARRANC DE SOLSO"
27874,"Tram de_( BARRANC DE SOLSO )"
27875,"BARRANC DE LES FOIES"
27876,"BARRANC DE LES FOSSETES"
27877,"Tram de_( BARRANC DE LES FOSSETES )"
27878,"Tram de_( BARRANC DE LES FOIES )"
27879,"BARRANC DEL SASTRE"
27880,"Tram de_( BARRANC DEL SASTRE )"
27881,"Tram de_( BARRANC DEL SASTRE )"
27882,"Tram de_( BARRANC DE LES FOIES )"
27883,"Tram de_( SIN NOMBRE )"
27884,"Tram de_( BARRANC DE LES FOIES )"
27885,"BARRANC DE L'ASTOR"
27886,"Tram de_( BARRANC DE L'ASTOR )"
27887,"BARRANC DE LA POLLA"
27888,"Tram de_( BARRANC DE LA POLLA )"
27889,"BARRANC DEL MASCARAT"
27890,"Tram de_( BARRANC DEL MASCARAT )"
27891,"Tram de_( BARRANC DE LA POLLA )"
27892,"Tram de_( BARRANC DE LA POLLA )"
