OBJECTID,nom_rio,OBJECTID_2,nom_rio_2
59826,TORRENT CROELLS,59827,SIN NOMBRE
59827,SIN NOMBRE,59827,SIN NOMBRE
59831,RIERA PICAMENA,59832,SIN NOMBRE
59831,RIERA PICAMENA,59833,SIN NOMBRE
59831,RIERA PICAMENA,59853,SIN NOMBRE
59832,SIN NOMBRE,59832,SIN NOMBRE
59833,SIN NOMBRE,59833,SIN NOMBRE
59847,SOT DE FONT NEGRE O DE LA MORA,59848,SIN NOMBRE
59848,SIN NOMBRE,59848,SIN NOMBRE
59853,SIN NOMBRE,59853,SIN NOMBRE
59855,RIERA DEL PUJOL,59856,SIN NOMBRE
59855,RIERA DEL PUJOL,59857,SIN NOMBRE
59856,SIN NOMBRE,59856,SIN NOMBRE
59857,SIN NOMBRE,59857,SIN NOMBRE
59859,RIERA DE MARTINET,59860,SIN NOMBRE
59860,SIN NOMBRE,59860,SIN NOMBRE
59875,BARRANC DE VALL-LLOSSERA,59877,SIN NOMBRE
59875,BARRANC DE VALL-LLOSSERA,59879,SIN NOMBRE
59875,BARRANC DE VALL-LLOSSERA,59880,SIN NOMBRE
59877,SIN NOMBRE,59877,SIN NOMBRE
59879,SIN NOMBRE,59879,SIN NOMBRE
59880,SIN NOMBRE,59880,SIN NOMBRE
59881,TORRENT DE FONT TORDERA,59882,SIN NOMBRE
59882,SIN NOMBRE,59882,SIN NOMBRE
59885,BARRANC DEL PUIG,59886,SIN NOMBRE
59885,BARRANC DEL PUIG,59889,SIN NOMBRE
59886,SIN NOMBRE,59886,SIN NOMBRE
59889,SIN NOMBRE,59889,SIN NOMBRE
60173,SIN NOMBRE,60173,SIN NOMBRE
60176,SIN NOMBRE,60176,SIN NOMBRE
60177,SIN NOMBRE,60177,SIN NOMBRE
60185,RIERA DE SANTA COLOMA,60186,SIN NOMBRE
60185,RIERA DE SANTA COLOMA,60188,SIN NOMBRE
60185,RIERA DE SANTA COLOMA,60190,SIN NOMBRE
60185,RIERA DE SANTA COLOMA,60193,SIN NOMBRE
60185,RIERA DE SANTA COLOMA,60224,SIN NOMBRE
60185,RIERA DE SANTA COLOMA,60333,SIN NOMBRE
60185,RIERA DE SANTA COLOMA,60336,SIN NOMBRE
60185,RIERA DE SANTA COLOMA,60356,SIN NOMBRE
60185,RIERA DE SANTA COLOMA,60357,SIN NOMBRE
60185,RIERA DE SANTA COLOMA,60358,SIN NOMBRE
60185,RIERA DE SANTA COLOMA,60359,SIN NOMBRE
60185,RIERA DE SANTA COLOMA,60360,SIN NOMBRE
60185,RIERA DE SANTA COLOMA,60363,SIN NOMBRE
60185,RIERA DE SANTA COLOMA,60364,SIN NOMBRE
60185,RIERA DE SANTA COLOMA,60365,SIN NOMBRE
60185,RIERA DE SANTA COLOMA,60371,SIN NOMBRE
60185,RIERA DE SANTA COLOMA,60376,SIN NOMBRE
60186,SIN NOMBRE,60186,SIN NOMBRE
60188,SIN NOMBRE,60188,SIN NOMBRE
60188,SIN NOMBRE,60189,SIN NOMBRE
60189,SIN NOMBRE,60189,SIN NOMBRE
60190,SIN NOMBRE,60190,SIN NOMBRE
60193,SIN NOMBRE,60193,SIN NOMBRE
60194,RIERA DE MAÇANES,60193,SIN NOMBRE
60194,RIERA DE MAÇANES,60207,SIN NOMBRE
60194,RIERA DE MAÇANES,60208,SIN NOMBRE
60194,RIERA DE MAÇANES,60209,SIN NOMBRE
60195,TORRENT DE CAL NAN,60196,SIN NOMBRE
60195,TORRENT DE CAL NAN,60197,SIN NOMBRE
60196,SIN NOMBRE,60196,SIN NOMBRE
60196,SIN NOMBRE,60197,SIN NOMBRE
60197,SIN NOMBRE,60196,SIN NOMBRE
60197,SIN NOMBRE,60197,SIN NOMBRE
60198,RIERA DE LA CASANOVA,60199,SIN NOMBRE
60198,RIERA DE LA CASANOVA,60200,SIN NOMBRE
60199,SIN NOMBRE,60199,SIN NOMBRE
60199,SIN NOMBRE,60200,SIN NOMBRE
60200,SIN NOMBRE,60199,SIN NOMBRE
60200,SIN NOMBRE,60200,SIN NOMBRE
60200,SIN NOMBRE,60201,SIN NOMBRE
60201,SIN NOMBRE,60201,SIN NOMBRE
60202,RIERA DE L'ESPARRA,60203,SIN NOMBRE
60202,RIERA DE L'ESPARRA,60205,SIN NOMBRE
60203,SIN NOMBRE,60203,SIN NOMBRE
60203,SIN NOMBRE,60204,SIN NOMBRE
60204,SIN NOMBRE,60204,SIN NOMBRE
60205,SIN NOMBRE,60205,SIN NOMBRE
60207,SIN NOMBRE,60207,SIN NOMBRE
60208,SIN NOMBRE,60208,SIN NOMBRE
60209,SIN NOMBRE,60209,SIN NOMBRE
60209,SIN NOMBRE,60210,SIN NOMBRE
60210,SIN NOMBRE,60210,SIN NOMBRE
60210,SIN NOMBRE,60211,SIN NOMBRE
60211,SIN NOMBRE,60211,SIN NOMBRE
60211,SIN NOMBRE,60212,SIN NOMBRE
60212,SIN NOMBRE,60212,SIN NOMBRE
60213,TORRENT DE MOLLET,60209,SIN NOMBRE
60213,TORRENT DE MOLLET,60218,SIN NOMBRE
60213,TORRENT DE MOLLET,60219,SIN NOMBRE
60213,TORRENT DE MOLLET,60221,SIN NOMBRE
60218,SIN NOMBRE,60218,SIN NOMBRE
60219,SIN NOMBRE,60219,SIN NOMBRE
60219,SIN NOMBRE,60220,SIN NOMBRE
60219,SIN NOMBRE,60221,SIN NOMBRE
60220,SIN NOMBRE,60220,SIN NOMBRE
60221,SIN NOMBRE,60219,SIN NOMBRE
60221,SIN NOMBRE,60221,SIN NOMBRE
