OBJECTID,nom_rio,OBJECTID_2,nom_rio_2
27712,ACEQUIA DE LES FOIES,27719,SIN NOMBRE
27713,BARRANC DELS TERRERS,27714,SIN NOMBRE
27714,SIN NOMBRE,27714,SIN NOMBRE
27719,SIN NOMBRE,27719,SIN NOMBRE
27726,SIN NOMBRE,27726,SIN NOMBRE
27734,BARRANC DE LA FOU,27748,SIN NOMBRE
27734,BARRANC DE LA FOU,27751,SIN NOMBRE
27748,SIN NOMBRE,27748,SIN NOMBRE
27751,SIN NOMBRE,27751,SIN NOMBRE
27751,SIN NOMBRE,27752,SIN NOMBRE
27752,SIN NOMBRE,27752,SIN NOMBRE
27753,BARRANC DE L'AVELLANAR,27754,SIN NOMBRE
27754,SIN NOMBRE,27754,SIN NOMBRE
27789,SIN NOMBRE,27789,SIN NOMBRE
27791,SIN NOMBRE,27791,SIN NOMBRE
27792,BARRANC DE LA MARTINENCA,27794,SIN NOMBRE
27794,SIN NOMBRE,27794,SIN NOMBRE
27795,SIN NOMBRE,27795,SIN NOMBRE
27796,BARRANC DEL LLOP,27797,SIN NOMBRE
27796,BARRANC DEL LLOP,27798,SIN NOMBRE
27797,SIN NOMBRE,27797,SIN NOMBRE
27798,SIN NOMBRE,27798,SIN NOMBRE
27799,BARRANC DEL CODONYOL,27801,SIN NOMBRE
27799,BARRANC DEL CODONYOL,27802,SIN NOMBRE
27799,BARRANC DEL CODONYOL,27803,SIN NOMBRE
27801,SIN NOMBRE,27801,SIN NOMBRE
27802,SIN NOMBRE,27802,SIN NOMBRE
27803,SIN NOMBRE,27803,SIN NOMBRE
27804,BARRANC DE L'AIGUASSERA,27805,SIN NOMBRE
27805,SIN NOMBRE,27805,SIN NOMBRE
27806,SIN NOMBRE,27806,SIN NOMBRE
27807,RIO EBRO,27864,SIN NOMBRE
27807,RIO EBRO,27866,SIN NOMBRE
27807,RIO EBRO,27867,SIN NOMBRE
27807,RIO EBRO,27871,SIN NOMBRE
27807,RIO EBRO,28047,SIN NOMBRE
27807,RIO EBRO,28059,SIN NOMBRE
27807,RIO EBRO,28060,SIN NOMBRE
27807,RIO EBRO,28117,SIN NOMBRE
27807,RIO EBRO,28128,SIN NOMBRE
27807,RIO EBRO,28147,SIN NOMBRE
27807,RIO EBRO,28148,SIN NOMBRE
27807,RIO EBRO,28150,SIN NOMBRE
27807,RIO EBRO,28154,SIN NOMBRE
27807,RIO EBRO,28214,SIN NOMBRE
27807,RIO EBRO,28215,SIN NOMBRE
27807,RIO EBRO,28231,SIN NOMBRE
27807,RIO EBRO,28247,SIN NOMBRE
27807,RIO EBRO,28248,SIN NOMBRE
27807,RIO EBRO,28254,SIN NOMBRE
27807,RIO EBRO,28349,SIN NOMBRE
27807,RIO EBRO,28414,SIN NOMBRE
27807,RIO EBRO,28429,SIN NOMBRE
27807,RIO EBRO,28430,SIN NOMBRE
27807,RIO EBRO,28431,SIN NOMBRE
27807,RIO EBRO,28432,SIN NOMBRE
27807,RIO EBRO,28433,SIN NOMBRE
27807,RIO EBRO,28833,SIN NOMBRE
27807,RIO EBRO,28838,SIN NOMBRE
27807,RIO EBRO,28898,SIN NOMBRE
27807,RIO EBRO,28899,SIN NOMBRE
27807,RIO EBRO,28937,SIN NOMBRE
27807,RIO EBRO,28938,SIN NOMBRE
27807,RIO EBRO,28993,SIN NOMBRE
27807,RIO EBRO,28994,SIN NOMBRE
27807,RIO EBRO,29068,SIN NOMBRE
27807,RIO EBRO,29069,SIN NOMBRE
27807,RIO EBRO,29102,SIN NOMBRE
27807,RIO EBRO,29103,SIN NOMBRE
27807,RIO EBRO,29106,SIN NOMBRE
27807,RIO EBRO,29116,SIN NOMBRE
27807,RIO EBRO,29117,SIN NOMBRE
27807,RIO EBRO,29118,SIN NOMBRE
27807,RIO EBRO,29119,SIN NOMBRE
27807,RIO EBRO,29120,SIN NOMBRE
27807,RIO EBRO,29121,SIN NOMBRE
27807,RIO EBRO,29126,SIN NOMBRE
27807,RIO EBRO,29163,SIN NOMBRE
27807,RIO EBRO,30011,SIN NOMBRE
27807,RIO EBRO,30012,SIN NOMBRE
27807,RIO EBRO,30021,SIN NOMBRE
27807,RIO EBRO,30022,SIN NOMBRE
27811,BARRANC DELS BARCELLES,27812,SIN NOMBRE
27812,SIN NOMBRE,27812,SIN NOMBRE
27813,BARRANC DE LA FULLOLA,27820,SIN NOMBRE
27813,BARRANC DE LA FULLOLA,27821,SIN NOMBRE
27813,BARRANC DE LA FULLOLA,27823,SIN NOMBRE
27813,BARRANC DE LA FULLOLA,27824,SIN NOMBRE
27820,SIN NOMBRE,27820,SIN NOMBRE
27821,SIN NOMBRE,27821,SIN NOMBRE
27823,SIN NOMBRE,27823,SIN NOMBRE
27824,SIN NOMBRE,27824,SIN NOMBRE
27825,BARRANC DE L'OMBRIA DE XIRIMINA,27826,SIN NOMBRE
27826,SIN NOMBRE,27826,SIN NOMBRE
27828,BARRANC DE SOLITO,27829,SIN NOMBRE
27828,BARRANC DE SOLITO,27830,SIN NOMBRE
27828,BARRANC DE SOLITO,27831,SIN NOMBRE
27829,SIN NOMBRE,27829,SIN NOMBRE
27830,SIN NOMBRE,27830,SIN NOMBRE
27831,SIN NOMBRE,27831,SIN NOMBRE
27833,BARRANC DE LA GRANADELLA O DE FAVARET,27837,SIN NOMBRE
27833,BARRANC DE LA GRANADELLA O DE FAVARET,27838,SIN NOMBRE
27833,BARRANC DE LA GRANADELLA O DE FAVARET,27845,SIN NOMBRE
27834,BARRANC DEL MAS ROIG,27835,SIN NOMBRE
27835,SIN NOMBRE,27835,SIN NOMBRE
27837,SIN NOMBRE,27837,SIN NOMBRE
27838,SIN NOMBRE,27838,SIN NOMBRE
27839,BARRANC DE LA FONT DE GRACIA,27840,SIN NOMBRE
27839,BARRANC DE LA FONT DE GRACIA,27841,SIN NOMBRE
27840,SIN NOMBRE,27840,SIN NOMBRE
27841,SIN NOMBRE,27841,SIN NOMBRE
27845,SIN NOMBRE,27845,SIN NOMBRE
27846,BARRANC DELS PIXADORS,27847,SIN NOMBRE
27846,BARRANC DELS PIXADORS,27849,SIN NOMBRE
27847,SIN NOMBRE,27847,SIN NOMBRE
27847,SIN NOMBRE,27848,SIN NOMBRE
27848,SIN NOMBRE,27848,SIN NOMBRE
27849,SIN NOMBRE,27849,SIN NOMBRE
27850,BARRANC DEL COLL DE L'ALBA O D'EN PRINCEP,27851,SIN NOMBRE
27850,BARRANC DEL COLL DE L'ALBA O D'EN PRINCEP,27853,SIN NOMBRE
27850,BARRANC DEL COLL DE L'ALBA O D'EN PRINCEP,27854,SIN NOMBRE
27851,SIN NOMBRE,27851,SIN NOMBRE
27853,SIN NOMBRE,27853,SIN NOMBRE
27854,SIN NOMBRE,27854,SIN NOMBRE
27856,BARRANC DE L'ORIOLA O DELS NUVOLS,27862,SIN NOMBRE
27856,BARRANC DE L'ORIOLA O DELS NUVOLS,27863,SIN NOMBRE
27858,BARRANC DE L'ANTIC,27859,SIN NOMBRE
27859,SIN NOMBRE,27859,SIN NOMBRE
27862,SIN NOMBRE,27862,SIN NOMBRE
27863,SIN NOMBRE,27863,SIN NOMBRE
27864,SIN NOMBRE,27864,SIN NOMBRE
27864,SIN NOMBRE,27865,SIN NOMBRE
27865,SIN NOMBRE,27865,SIN NOMBRE
27866,SIN NOMBRE,27866,SIN NOMBRE
27867,SIN NOMBRE,27867,SIN NOMBRE
27871,SIN NOMBRE,27871,SIN NOMBRE
27873,BARRANC DE SOLSO,27874,SIN NOMBRE
27874,SIN NOMBRE,27874,SIN NOMBRE
27875,BARRANC DE LES FOIES,27878,SIN NOMBRE
27875,BARRANC DE LES FOIES,27882,SIN NOMBRE
27875,BARRANC DE LES FOIES,27884,SIN NOMBRE
27876,BARRANC DE LES FOSSETES,27877,SIN NOMBRE
27877,SIN NOMBRE,27877,SIN NOMBRE
27878,SIN NOMBRE,27878,SIN NOMBRE
27879,BARRANC DEL SASTRE,27880,SIN NOMBRE
27879,BARRANC DEL SASTRE,27881,SIN NOMBRE
27880,SIN NOMBRE,27880,SIN NOMBRE
27880,SIN NOMBRE,27881,SIN NOMBRE
27881,SIN NOMBRE,27880,SIN NOMBRE
27881,SIN NOMBRE,27881,SIN NOMBRE
27882,SIN NOMBRE,27882,SIN NOMBRE
27882,SIN NOMBRE,27883,SIN NOMBRE
27883,SIN NOMBRE,27883,SIN NOMBRE
27884,SIN NOMBRE,27884,SIN NOMBRE
27885,BARRANC DE L'ASTOR,27886,SIN NOMBRE
27886,SIN NOMBRE,27886,SIN NOMBRE
27887,BARRANC DE LA POLLA,27888,SIN NOMBRE
27887,BARRANC DE LA POLLA,27891,SIN NOMBRE
27887,BARRANC DE LA POLLA,27892,SIN NOMBRE
27887,BARRANC DE LA POLLA,27895,SIN NOMBRE
27888,SIN NOMBRE,27888,SIN NOMBRE
27889,BARRANC DEL MASCARAT,27890,SIN NOMBRE
27890,SIN NOMBRE,27890,SIN NOMBRE
27891,SIN NOMBRE,27891,SIN NOMBRE
27892,SIN NOMBRE,27892,SIN NOMBRE
27892,SIN NOMBRE,27893,SIN NOMBRE
27893,SIN NOMBRE,27893,SIN NOMBRE
27895,SIN NOMBRE,27895,SIN NOMBRE
27896,BARRANC DE MARCELINA,27895,SIN NOMBRE
27899,BARRANC DE LES FENOSES,27900,SIN NOMBRE
27899,BARRANC DE LES FENOSES,27901,SIN NOMBRE
27899,BARRANC DE LES FENOSES,27902,SIN NOMBRE
27900,SIN NOMBRE,27900,SIN NOMBRE
27901,SIN NOMBRE,27901,SIN NOMBRE
27902,SIN NOMBRE,27902,SIN NOMBRE
27905,BARRANC DE LA GALERA,27948,SIN NOMBRE
27905,BARRANC DE LA GALERA,27957,SIN NOMBRE
27905,BARRANC DE LA GALERA,27958,SIN NOMBRE
27905,BARRANC DE LA GALERA,27959,SIN NOMBRE
27905,BARRANC DE LA GALERA,27960,SIN NOMBRE
27905,BARRANC DE LA GALERA,27961,SIN NOMBRE
27905,BARRANC DE LA GALERA,27962,SIN NOMBRE
27906,RAMBLA DEL TOLL ROIG,27909,SIN NOMBRE
27906,RAMBLA DEL TOLL ROIG,27911,SIN NOMBRE
27909,SIN NOMBRE,27909,SIN NOMBRE
27911,SIN NOMBRE,27911,SIN NOMBRE
27914,BARRANC DEL CARRASCAL,27915,SIN NOMBRE
27915,SIN NOMBRE,27915,SIN NOMBRE
27917,BARRANC DE LES TORRASES O DELS COCONS,27918,SIN NOMBRE
27918,SIN NOMBRE,27918,SIN NOMBRE
27919,BARRANC DE CAP D'ASENS,27920,SIN NOMBRE
27920,SIN NOMBRE,27920,SIN NOMBRE
27921,BARRANC DE DAMPANIS,27922,SIN NOMBRE
27921,BARRANC DE DAMPANIS,27923,SIN NOMBRE
27922,SIN NOMBRE,27922,SIN NOMBRE
27923,SIN NOMBRE,27923,SIN NOMBRE
27924,BARRANC DE VALLDEBOUS,27925,SIN NOMBRE
27924,BARRANC DE VALLDEBOUS,27928,SIN NOMBRE
27924,BARRANC DE VALLDEBOUS,27930,SIN NOMBRE
27924,BARRANC DE VALLDEBOUS,27931,SIN NOMBRE
27924,BARRANC DE VALLDEBOUS,27932,SIN NOMBRE
27925,SIN NOMBRE,27925,SIN NOMBRE
27928,SIN NOMBRE,27928,SIN NOMBRE
27930,SIN NOMBRE,27930,SIN NOMBRE
27931,SIN NOMBRE,27931,SIN NOMBRE
27932,SIN NOMBRE,27932,SIN NOMBRE
27933,BARRANC DE MANGRANER,27934,SIN NOMBRE
27934,SIN NOMBRE,27934,SIN NOMBRE
27937,BARRANC DEL TORRIL,27938,SIN NOMBRE
27938,SIN NOMBRE,27938,SIN NOMBRE
27943,BARRANC DELS CAIXOLS,27944,SIN NOMBRE
27944,SIN NOMBRE,27944,SIN NOMBRE
27946,BARRANC DE LA CASA GOMIS,27947,SIN NOMBRE
27947,SIN NOMBRE,27947,SIN NOMBRE
27948,SIN NOMBRE,27948,SIN NOMBRE
27951,BARRANC DEL REGATXOL,27952,SIN NOMBRE
27951,BARRANC DEL REGATXOL,27953,SIN NOMBRE
27952,SIN NOMBRE,27952,SIN NOMBRE
27953,SIN NOMBRE,27953,SIN NOMBRE
27954,BARRANC DE LA GOTELLERA,27955,SIN NOMBRE
27954,BARRANC DE LA GOTELLERA,27956,SIN NOMBRE
27955,SIN NOMBRE,27955,SIN NOMBRE
27956,SIN NOMBRE,27956,SIN NOMBRE
27957,SIN NOMBRE,27957,SIN NOMBRE
27958,SIN NOMBRE,27958,SIN NOMBRE
27959,SIN NOMBRE,27959,SIN NOMBRE
27960,SIN NOMBRE,27960,SIN NOMBRE
27961,SIN NOMBRE,27961,SIN NOMBRE
27962,SIN NOMBRE,27962,SIN NOMBRE
27963,BARRANC DE LA VALL,27964,SIN NOMBRE
27964,SIN NOMBRE,27964,SIN NOMBRE
27966,BARRANC DE LLEDO,27968,SIN NOMBRE
27968,SIN NOMBRE,27968,SIN NOMBRE
27969,BARRANC DELS PLANS LLOPS,27970,SIN NOMBRE
27969,BARRANC DELS PLANS LLOPS,27972,SIN NOMBRE
27969,BARRANC DELS PLANS LLOPS,27973,SIN NOMBRE
27970,SIN NOMBRE,27970,SIN NOMBRE
27970,SIN NOMBRE,27971,SIN NOMBRE
27971,SIN NOMBRE,27971,SIN NOMBRE
27972,SIN NOMBRE,27972,SIN NOMBRE
27973,SIN NOMBRE,27973,SIN NOMBRE
27974,BARRANC DE TRILLADOR,27980,SIN NOMBRE
27975,BARRANC DEL PREGO,27976,SIN NOMBRE
27975,BARRANC DEL PREGO,27978,SIN NOMBRE
27975,BARRANC DEL PREGO,27979,SIN NOMBRE
27976,SIN NOMBRE,27976,SIN NOMBRE
27978,SIN NOMBRE,27978,SIN NOMBRE
27979,SIN NOMBRE,27979,SIN NOMBRE
27980,SIN NOMBRE,27980,SIN NOMBRE
27983,BARRANC DE LA CELLULOSA,27984,SIN NOMBRE
27983,BARRANC DE LA CELLULOSA,27985,SIN NOMBRE
27984,SIN NOMBRE,27984,SIN NOMBRE
27985,SIN NOMBRE,27985,SIN NOMBRE
27986,BARRANC DE ROER,27987,SIN NOMBRE
27987,SIN NOMBRE,27987,SIN NOMBRE
27988,BARRANC DE LA PETJA,27989,SIN NOMBRE
27989,SIN NOMBRE,27989,SIN NOMBRE
27990,BARRANC FONDO,27991,SIN NOMBRE
27991,SIN NOMBRE,27991,SIN NOMBRE
27994,BARRANC DE LLORET,28000,SIN NOMBRE
27995,BARRANC DE LA COVA DEL GARROFER,27996,SIN NOMBRE
27995,BARRANC DE LA COVA DEL GARROFER,27997,SIN NOMBRE
27995,BARRANC DE LA COVA DEL GARROFER,27998,SIN NOMBRE
27996,SIN NOMBRE,27996,SIN NOMBRE
27997,SIN NOMBRE,27997,SIN NOMBRE
27998,SIN NOMBRE,27998,SIN NOMBRE
28000,SIN NOMBRE,28000,SIN NOMBRE
28002,BARRANC DE COVA PINTADA,28003,SIN NOMBRE
28003,SIN NOMBRE,28003,SIN NOMBRE
28008,BARRANC DE LA CONCA,28009,SIN NOMBRE
28009,SIN NOMBRE,28009,SIN NOMBRE
28012,BARRANC DE LA VALL D'EN PASTOR,28013,SIN NOMBRE
28013,SIN NOMBRE,28013,SIN NOMBRE
28015,BARRANC DE LA LLET,28016,SIN NOMBRE
28015,BARRANC DE LA LLET,28017,SIN NOMBRE
28016,SIN NOMBRE,28016,SIN NOMBRE
28017,SIN NOMBRE,28017,SIN NOMBRE
28018,BARRANC DEL RACO DE L'INFERN,28019,SIN NOMBRE
28019,SIN NOMBRE,28019,SIN NOMBRE
28021,BARRANC DEL GALATXO,28022,SIN NOMBRE
28022,SIN NOMBRE,28022,SIN NOMBRE
28030,BARRANC DE LA VALL DE LA SERVERA,28032,SIN NOMBRE
28032,SIN NOMBRE,28032,SIN NOMBRE
28035,BARRANC DEL TORRENT,28036,SIN NOMBRE
28035,BARRANC DEL TORRENT,28037,SIN NOMBRE
28035,BARRANC DEL TORRENT,28038,SIN NOMBRE
28036,SIN NOMBRE,28036,SIN NOMBRE
28037,SIN NOMBRE,28037,SIN NOMBRE
28038,SIN NOMBRE,28038,SIN NOMBRE
28039,BARRANC D'EN RUBI,28040,SIN NOMBRE
28040,SIN NOMBRE,28040,SIN NOMBRE
28041,BARRANC DE RIU SEC,28042,SIN NOMBRE
28041,BARRANC DE RIU SEC,28043,SIN NOMBRE
28042,SIN NOMBRE,28042,SIN NOMBRE
28043,SIN NOMBRE,28043,SIN NOMBRE
28043,SIN NOMBRE,28044,SIN NOMBRE
28044,SIN NOMBRE,28044,SIN NOMBRE
28047,SIN NOMBRE,28047,SIN NOMBRE
28047,SIN NOMBRE,28048,SIN NOMBRE
28048,SIN NOMBRE,28048,SIN NOMBRE
28049,BARRANC DELS TANCATS,28052,SIN NOMBRE
28049,BARRANC DELS TANCATS,28053,SIN NOMBRE
28050,BARRANC DE LA MONTSERRADA,28051,SIN NOMBRE
28051,SIN NOMBRE,28051,SIN NOMBRE
28052,SIN NOMBRE,28052,SIN NOMBRE
28053,SIN NOMBRE,28053,SIN NOMBRE
28053,SIN NOMBRE,28054,SIN NOMBRE
28054,SIN NOMBRE,28054,SIN NOMBRE
28056,BARRANC DE LES CORRALISSES,28057,SIN NOMBRE
28056,BARRANC DE LES CORRALISSES,28058,SIN NOMBRE
28057,SIN NOMBRE,28057,SIN NOMBRE
28058,SIN NOMBRE,28058,SIN NOMBRE
28059,SIN NOMBRE,28059,SIN NOMBRE
28060,SIN NOMBRE,28060,SIN NOMBRE
28061,BARRANC DEL BASSIOL,28062,SIN NOMBRE
28062,SIN NOMBRE,28062,SIN NOMBRE
28062,SIN NOMBRE,28063,SIN NOMBRE
28063,SIN NOMBRE,28063,SIN NOMBRE
28064,BARRANC DE BARRUGAT,28065,SIN NOMBRE
28065,SIN NOMBRE,28065,SIN NOMBRE
28066,BARRANC DE LA CONCA DE SANT JULIA,28067,SIN NOMBRE
28066,BARRANC DE LA CONCA DE SANT JULIA,28069,SIN NOMBRE
28066,BARRANC DE LA CONCA DE SANT JULIA,28070,SIN NOMBRE
28066,BARRANC DE LA CONCA DE SANT JULIA,28071,SIN NOMBRE
28066,BARRANC DE LA CONCA DE SANT JULIA,28072,SIN NOMBRE
28066,BARRANC DE LA CONCA DE SANT JULIA,28074,SIN NOMBRE
28067,SIN NOMBRE,28067,SIN NOMBRE
28069,SIN NOMBRE,28069,SIN NOMBRE
28070,SIN NOMBRE,28070,SIN NOMBRE
28071,SIN NOMBRE,28071,SIN NOMBRE
28072,SIN NOMBRE,28072,SIN NOMBRE
28074,SIN NOMBRE,28074,SIN NOMBRE
28075,BARRANC DEL LLOP O D'EN XIVEL.LI,28076,SIN NOMBRE
28075,BARRANC DEL LLOP O D'EN XIVEL.LI,28077,SIN NOMBRE
28075,BARRANC DEL LLOP O D'EN XIVEL.LI,28081,SIN NOMBRE
28076,SIN NOMBRE,28076,SIN NOMBRE
28077,SIN NOMBRE,28077,SIN NOMBRE
28078,BARRANC DE LES FIGUERASSES,28079,SIN NOMBRE
28079,SIN NOMBRE,28079,SIN NOMBRE
28081,SIN NOMBRE,28081,SIN NOMBRE
28083,BARRANC DELS FORNETS,28084,SIN NOMBRE
28084,SIN NOMBRE,28084,SIN NOMBRE
28087,BARRANC DEL LLIGUERANS,28091,SIN NOMBRE
28089,BARRANC DE L'ALBARDASSA,28090,SIN NOMBRE
28090,SIN NOMBRE,28090,SIN NOMBRE
28091,SIN NOMBRE,28091,SIN NOMBRE
28092,BARRANC DE VALLPALMERA,28093,SIN NOMBRE
28092,BARRANC DE VALLPALMERA,28094,SIN NOMBRE
28092,BARRANC DE VALLPALMERA,28095,SIN NOMBRE
28093,SIN NOMBRE,28093,SIN NOMBRE
28094,SIN NOMBRE,28094,SIN NOMBRE
28095,SIN NOMBRE,28095,SIN NOMBRE
28096,BARRANC DE BOIX,28100,SIN NOMBRE
28096,BARRANC DE BOIX,28101,SIN NOMBRE
28097,BARRANC DELS PARETS,28098,SIN NOMBRE
28097,BARRANC DELS PARETS,28099,SIN NOMBRE
28098,SIN NOMBRE,28098,SIN NOMBRE
28099,SIN NOMBRE,28099,SIN NOMBRE
28100,SIN NOMBRE,28100,SIN NOMBRE
28101,SIN NOMBRE,28101,SIN NOMBRE
28102,BARRANC DE LES CALOBRES,28104,SIN NOMBRE
28104,SIN NOMBRE,28104,SIN NOMBRE
28105,BARRANC DE LA BOINACA,28116,SIN NOMBRE
28106,BARRANC DEL BASSIOL,28107,SIN NOMBRE
28106,BARRANC DEL BASSIOL,28108,SIN NOMBRE
28106,BARRANC DEL BASSIOL,28109,SIN NOMBRE
28107,SIN NOMBRE,28107,SIN NOMBRE
28108,SIN NOMBRE,28108,SIN NOMBRE
28109,SIN NOMBRE,28109,SIN NOMBRE
28112,BARRANC DE LES SEVINES,28113,SIN NOMBRE
28113,SIN NOMBRE,28113,SIN NOMBRE
28114,BARRANC DELS SEGADELLS,28115,SIN NOMBRE
28115,SIN NOMBRE,28115,SIN NOMBRE
28116,SIN NOMBRE,28116,SIN NOMBRE
28117,SIN NOMBRE,28117,SIN NOMBRE
28118,BARRANC DE L'ARGILA,28119,SIN NOMBRE
28118,BARRANC DE L'ARGILA,28123,SIN NOMBRE
28118,BARRANC DE L'ARGILA,28124,SIN NOMBRE
28118,BARRANC DE L'ARGILA,28125,SIN NOMBRE
28118,BARRANC DE L'ARGILA,28126,SIN NOMBRE
28118,BARRANC DE L'ARGILA,28127,SIN NOMBRE
28119,SIN NOMBRE,28119,SIN NOMBRE
28121,BARRANC DE RAUDOR,28122,SIN NOMBRE
28122,SIN NOMBRE,28122,SIN NOMBRE
28123,SIN NOMBRE,28123,SIN NOMBRE
28124,SIN NOMBRE,28124,SIN NOMBRE
28125,SIN NOMBRE,28125,SIN NOMBRE
28126,SIN NOMBRE,28126,SIN NOMBRE
28127,SIN NOMBRE,28127,SIN NOMBRE
28128,SIN NOMBRE,28128,SIN NOMBRE
28130,BARRANC DE LES FONTS,28132,SIN NOMBRE
28130,BARRANC DE LES FONTS,28133,SIN NOMBRE
28132,SIN NOMBRE,28132,SIN NOMBRE
28133,SIN NOMBRE,28133,SIN NOMBRE
28135,BARRANC DE LES VALLS,28136,SIN NOMBRE
28135,BARRANC DE LES VALLS,28137,SIN NOMBRE
28136,SIN NOMBRE,28136,SIN NOMBRE
28137,SIN NOMBRE,28137,SIN NOMBRE
28139,BARRANC DEL MORELLA,28140,SIN NOMBRE
28140,SIN NOMBRE,28140,SIN NOMBRE
28145,BARRANC DELS MASETS,28146,SIN NOMBRE
28146,SIN NOMBRE,28146,SIN NOMBRE
28147,SIN NOMBRE,28147,SIN NOMBRE
28148,SIN NOMBRE,28148,SIN NOMBRE
28150,SIN NOMBRE,28150,SIN NOMBRE
28151,BARRANC DE SANT JORDI,28152,SIN NOMBRE
28151,BARRANC DE SANT JORDI,28153,SIN NOMBRE
28152,SIN NOMBRE,28152,SIN NOMBRE
28153,SIN NOMBRE,28153,SIN NOMBRE
28154,SIN NOMBRE,28154,SIN NOMBRE
